label,message
fraud,Your account is blocked click this link immediately
legit,Your SBI account balance is Rs 5400
fraud,Verify your KYC now to avoid account suspension
legit,HDFC Bank OTP is 458712 do not share with anyone
fraud,You have won a reward click here to claim
legit,ICICI Bank statement is ready for download
fraud,Urgent update required login to secure your account
legit,Your loan EMI of Rs 12000 is due tomorrow
fraud,Your card is blocked verify details immediately
legit,SBI credit card payment received successfully
fraud,click the link and get cash or 1000
legit,you loan EMI has been paid
fraud,your account has been limit verify now
legit,your bank services are running normally
fraud,provide otp and unclock your account
legit,payment received with refernce number
fraud,reset password immediately to stay secure
legit,interest payout credited

label,message
fraud,click the link and get instant cash reward
fraud,urgent your bank account will be blocked today
fraud,verify your KYC immediately using this link
fraud,congratulations you have won a lottery prize
fraud,share your OTP to reactivate your account
fraud,free recharge available click now
fraud,bank alert suspicious activity verify now
fraud,claim your cashback offer today
fraud,update your PAN details to avoid suspension
fraud,you are selected for cash prize click link
fraud,confirm your debit card details immediately
fraud,account blocked due to suspicious login
fraud,reset password now to secure your account
fraud,urgent loan approved click to receive money
fraud,win iphone click here to claim
fraud,limited time offer act now
fraud,verify account details to avoid penalty
fraud,unauthorized transaction detected click link
fraud,free money waiting claim now
fraud,bank warning confirm identity immediately
fraud,update KYC now or account closed
fraud,reward points expiring click to redeem
fraud,click here to get instant loan
fraud,account compromised verify immediately
fraud,free gift waiting for you
fraud,urgent action required secure account
fraud,claim your insurance refund now
fraud,click link to unblock ATM card
fraud,lottery winner contact immediately
fraud,verify your mobile number now
fraud,urgent EMI overdue pay now link
fraud,click link to receive government subsidy
fraud,account under review verify details
fraud,free cashback click here
fraud,confirm bank login now
fraud,update Aadhaar immediately
fraud,account freeze warning act fast
fraud,click to receive bonus amount
fraud,verify email to continue service
fraud,security alert confirm now
fraud,claim reward before expiry
fraud,account blocked contact immediately
fraud,urgent bank notice verify link
fraud,free voucher available click now
fraud,confirm details to avoid legal action
fraud,instant cash offer claim today
fraud,verify account to avoid suspension

legit,your OTP is 458712 do not share with anyone
legit,your account balance is Rs 5400
legit,EMI of Rs 12000 is due tomorrow
legit,payment received successfully thank you
legit,interest credited to your savings account
legit,your loan EMI has been paid successfully
legit,transaction of Rs 1500 completed
legit,your bank statement is ready
legit,your debit card payment was successful
legit,account login successful from your device
legit,your OTP is valid for 5 minutes
legit,monthly statement generated successfully
legit,bank holiday notice for tomorrow
legit,your credit card bill is generated
legit,payment failed please try again
legit,your password was changed successfully
legit,account details updated successfully
legit,NEFT transfer completed
legit,cheque cleared successfully
legit,your fixed deposit has matured
legit,interest payout credited
legit,your ATM withdrawal was successful
legit,your loan application is under process
legit,thank you for using our banking services
legit,scheduled maintenance tonight
legit,your account is active
legit,your registered mobile number updated
legit,transaction pending confirmation
legit,your OTP is 963258 do not share
legit,your bill payment was successful
legit,account verification completed
legit,your KYC is up to date
legit,your email address updated
legit,EMI reminder for upcoming payment
legit,statement sent to your registered email
legit,your card is active
legit,your refund has been processed
legit,account credited with salary
legit,bank service request closed
legit,your OTP is 741852
legit,your account is secure
legit,your complaint has been registered
legit,your transaction receipt is available
legit,interest rate updated
legit,your standing instruction executed
legit,bank notice regarding policy update
legit,account login alert
legit,your service request is in progress
